path,semantic_role,confidence,members,size,member_min,member_median,member_max,black_white_same,evidence
/skb.narc,Soft keyboard / text-entry UI resources,high,6,60336,552,14400.0,14400,True,local structure
/soundstatus.narc,Sound/status UI resources,high,4,12164,552,1636.0,8256,True,local structure
/titledemo.narc,Title/opening demo resources,confirmed,20,227088,320,1572.0,65584,True,local structure
/a/0/0/2,Message/system text bank,confirmed,288,3054740,20,1432.0,252092,True,Project Pokémon RawDB
/a/0/0/3,Story/overworld text bank,confirmed,472,1603248,32,868.0,160444,True,Project Pokémon RawDB
/a/0/0/4,Pokémon battle sprite/animation compound resources,high,14285,7889304,0,349,6516,True,local structure
/a/0/0/6,Battle particle/effect resources (SPA),high,733,9042232,1196,9888,34988,True,local signature
/a/0/0/7,Pokémon menu icon resources,high,1431,779916,0,362,1072,True,local structure
/a/0/0/8,Map resources,confirmed,649,18199420,480,25632,99520,True,community research
/a/0/1/1,Battle background/UI 2D+3D resources,high,222,2823204,103,2248.0,100084,True,community research + structure
/a/0/1/2,ZoneData / map association table,high,1,20556,20496,20496,20496,True,community research
/a/0/1/6,Pokémon personal/base-stat data,confirmed,669,46780,56,60,1300,True,Project Pokémon RawDB
/a/0/1/7,Experience growth tables,confirmed,8,3348,404,404.0,404,True,Project Pokémon RawDB
/a/0/1/8,Level-up learnsets,confirmed,668,46904,4,64.0,92,True,Project Pokémon RawDB
/a/0/1/9,Evolution data,confirmed,668,34788,42,42.0,42,True,Project Pokémon RawDB
/a/0/2/0,Base evolution / baby-species mapping,confirmed,650,7852,2,2.0,2,True,Project Pokémon RawDB
/a/0/2/1,Move parameter data,confirmed,560,24692,36,36.0,36,True,Project Pokémon RawDB
/a/0/2/4,Item parameter data,high,627,27640,36,36,36,True,community tooling + record structure
/a/0/2/6,Title-screen resources,high,15,22228,112,552,13882,False,community research + version delta
/a/0/5/6,Field/event scripts,confirmed,44,72308,131,436.0,32832,True,NPRE/community research
/a/0/6/6,Move animation scripts,confirmed,601,435516,64,620,4576,True,Project Pokémon research
/a/0/6/7,Battle effect scripts / auxiliary battle animations,high,98,47252,68,314.0,5596,True,Project Pokémon research
/a/0/7/1,Trainer front/VS sprite resources,high,39,65652,142,362,28864,True,community research + structure
/a/0/7/2,Trainer back/send-out sprite resources,high,760,254480,60,99.0,2160,True,community research + structure
/a/0/9/2,Trainer metadata (TRData),confirmed,616,17296,16,20.0,20,True,TrainerTyrant/community tooling
/a/0/9/3,Trainer party data (TRPoke),confirmed,616,17144,6,16.0,108,True,TrainerTyrant/community tooling
/a/1/2/6,Wild encounter tables,confirmed,112,35284,232,232.0,928,False,local parse + community tooling
/a/1/6/3,In-game trade data,probable,7,416,44,44,44,True,cross-version community mapping
/a/1/7/8,Species-indexed seasonal/location availability table,probable,649,168792,249,249,249,False,local differential/periodicity analysis
/a/2/0/5,Starter-selection scene 2D resources,probable,40,291408,99,552.0,98388,True,community research + structure
/a/2/3/1,Help/manual full-screen images,confirmed,73,1208900,11653,14485,30624,False,local LZ10 decode
